Category,Layer,Index1,Index2,Value
actor_W1,Layer1,5,24,-0.0145937
actor_W1,Layer1,5,25,0.0929864
actor_W1,Layer1,5,26,0.279889
actor_W1,Layer1,5,27,0.0136529
actor_W1,Layer1,5,28,0.160852
actor_W1,Layer1,5,29,0.0842568
actor_W1,Layer1,5,30,0.204067
actor_W1,Layer1,5,31,-0.198702
actor_W1,Layer1,5,32,0.202988
actor_W1,Layer1,5,33,0.0652294
actor_W1,Layer1,5,34,0.139523
actor_W1,Layer1,5,35,-0.0708746
actor_W1,Layer1,6,0,0.0133985
actor_W1,Layer1,6,1,-0.122573
actor_W1,Layer1,6,2,-0.178721
actor_W1,Layer1,6,3,0.0103253
actor_W1,Layer1,6,4,0.157928
actor_W1,Layer1,6,5,-0.0655622
actor_W1,Layer1,6,6,0.0730821
actor_W1,Layer1,6,7,0.0867239
actor_W1,Layer1,6,8,-0.161519
actor_W1,Layer1,6,9,0.031132
actor_W1,Layer1,6,10,0.155219
actor_W1,Layer1,6,11,-0.149682
actor_W1,Layer1,6,12,0.116586
actor_W1,Layer1,6,13,-0.248003
actor_W1,Layer1,6,14,0.112075
actor_W1,Layer1,6,15,-0.265243
actor_W1,Layer1,6,16,0.0294936
actor_W1,Layer1,6,17,-0.267127
actor_W1,Layer1,6,18,0.159531
actor_W1,Layer1,6,19,0.0269435
actor_W1,Layer1,6,20,0.078372
actor_W1,Layer1,6,21,0.174383
actor_W1,Layer1,6,22,-0.0157487
actor_W1,Layer1,6,23,-0.0978725
actor_W1,Layer1,6,24,0.181791
actor_W1,Layer1,6,25,-0.00251776
actor_W1,Layer1,6,26,0.00442989
actor_W1,Layer1,6,27,0.0215503
actor_W1,Layer1,6,28,-0.183437
actor_W1,Layer1,6,29,0.0484279
actor_W1,Layer1,6,30,-0.0963877
actor_W1,Layer1,6,31,0.173119
actor_W1,Layer1,6,32,0.1907
actor_W1,Layer1,6,33,0.0202939
actor_W1,Layer1,6,34,-0.248756
actor_W1,Layer1,6,35,-0.0996109
actor_W1,Layer1,7,0,0.119666
actor_W1,Layer1,7,1,0.174911
actor_W1,Layer1,7,2,0.0456387
actor_W1,Layer1,7,3,-0.10681
actor_W1,Layer1,7,4,0.123455
actor_W1,Layer1,7,5,-0.0548606
actor_W1,Layer1,7,6,0.0737484
actor_W1,Layer1,7,7,0.223014
actor_W1,Layer1,7,8,0.0668608
actor_W1,Layer1,7,9,0.161415
actor_W1,Layer1,7,10,0.24532
actor_W1,Layer1,7,11,-0.042159
actor_W1,Layer1,7,12,-0.0766898
actor_W1,Layer1,7,13,0.102222
actor_W1,Layer1,7,14,-0.0108819
actor_W1,Layer1,7,15,0.0672311
actor_W1,Layer1,7,16,-0.209133
actor_W1,Layer1,7,17,0.201997
actor_W1,Layer1,7,18,0.0658627
actor_W1,Layer1,7,19,-0.179266
actor_W1,Layer1,7,20,0.017083
actor_W1,Layer1,7,21,0.0565428
actor_W1,Layer1,7,22,-0.110085
actor_W1,Layer1,7,23,-0.0944768
actor_W1,Layer1,7,24,0.171829
actor_W1,Layer1,7,25,0.257269
actor_W1,Layer1,7,26,0.16864
actor_W1,Layer1,7,27,0.166259
actor_W1,Layer1,7,28,0.258827
actor_W1,Layer1,7,29,0.168111
actor_W1,Layer1,7,30,-0.0766087
actor_W1,Layer1,7,31,-0.0916372
actor_W1,Layer1,7,32,0.258481
actor_W1,Layer1,7,33,-0.330372
actor_W1,Layer1,7,34,0.0900662
actor_W1,Layer1,7,35,-0.0349498
actor_W1,Layer1,8,0,-0.115229
actor_W1,Layer1,8,1,0.12905
actor_W1,Layer1,8,2,-0.183969
actor_W1,Layer1,8,3,0.222817
actor_W1,Layer1,8,4,-0.0829242
actor_W1,Layer1,8,5,0.122227
actor_W1,Layer1,8,6,-0.16717
actor_W1,Layer1,8,7,-0.0264286
actor_W1,Layer1,8,8,0.206474
actor_W1,Layer1,8,9,-0.13098
actor_W1,Layer1,8,10,-0.19046
actor_W1,Layer1,8,11,-0.0469614
actor_W1,Layer1,8,12,0.0219574
actor_W1,Layer1,8,13,0.20843
actor_W1,Layer1,8,14,-0.155724
actor_W1,Layer1,8,15,0.224528
actor_W1,Layer1,8,16,-0.0322119
actor_W1,Layer1,8,17,-0.240592
actor_W1,Layer1,8,18,-0.115425
actor_W1,Layer1,8,19,-0.220639
actor_W1,Layer1,8,20,0.0991753
actor_W1,Layer1,8,21,-0.176426
actor_W1,Layer1,8,22,-0.23233
actor_W1,Layer1,8,23,0.202874
